id	caption	abstract	facet.collaborators	facet.publication	facet.subject	facet.year	img	pdf	primary	reference	thumb	text	video
0	Tactile Sensor	"This paper discusses the design of a contact sensor for use with the Utah-MIT dexterous hand [Jacobsen, et al. 1984]. The sensor utilizes an 8x8 array of capacitive cells. This paper extends the work presented in Siegel and Garabiet [1986], and the ealier work of Boie [1984]; a more detailed design analysis, modifications to the construction process, and better performance results are shown."	"Siegel,Garabieta"	IEEE	"Robotics,Touch"	1987	researchImages/perfanalysis.png	"http://research.microsoft.com/copyright/accept.asp?path=/~sdrucker/papers/tactilesensor,pdf&pub=IEEE"	Robotics	"Siegel, D.; Drucker, S.; Garabieta, I, Performance analysis of a tactile sensor, Robotics and Automation. Proceedings. 1987 IEEE International Conference on , vol.4, no., pp.1493,1499, March 1987"	thumbnail/perfanalysis.png	tactilesensor.txt	
1	Texture from Touch	Not available		Book	"Robotics,Touch"	1988	researchImages/natcomp.png		Robotics	"Steven M. Drucker. Texture from Touch. In: Whitman Richards, editor. Natural Computation. MIT Press; 1988. "	thumbnail/natcomp.png		
2	Intermedia1	none	"Yankelovich,Haan,Meyrowitz"	IEEE	"Hyptertext,UI,Information"	1988	researchImages/intermedia.gif	http://research.microsoft.com/copyright/accept.asp?path=/~sdrucker/papers/intermedia1.pdf&pub=IEEE	Hypertext	"Yankelovich, N, Haan, B.J., Meyrowitz, N. and Drucker, S.M., INTERMEDIA: The Concept and Construction of a Seamless Environment. IEEE Computer, January: 1988."	thumbnail/intermedia.gif	connintermedia.txt	
3	Intermedia2	none	"Yankelovich,Haan"	ICSS	"Hyptertext,UI,Information"	1988	researchImages/intermedia2.gif	http://research.microsoft.com/copyright/accept.asp?path=/~sdrucker/papers/connintermedia.pdf&pub=IEEE	Hypertext	"Yankelovich, N, Haan, B.J., and Drucker, S.M., Connections in Context: the Intermedia Systems. International Conference on Systems Sciences, Vol. 2 pp. 715-724, January: 1988."	thumbnail/intermedia2.gif	intermedia1.txt	
4	Task Level Learning	"We report on a preliminary investigation of task-level learning, an approach to learning from practice. We have a programmaed a robot to juggle a single ball in three dimensions by batting it upwards with a large paddle. The robot uses a real-time binary vision system to track the ball and measure its performance. Task-level learning consists of building a model of performance errors at the task level during practice, and using that model to refine task-level commands. A polynomial surface was fit to the errors in where the ball went after each hit, and this task model is used to refine how the ball is hit. This application of task-level learning dramatically increased the number of consecutive hits the robot could execute before the ball was hit out of range of the paddle."	"Aboaf,Atkeson"	"IEEE,MastersThesis"	"Robotics,Learning,Thesis"	1989	researchImages/robotlearn.gif	http://research.microsoft.com/copyright/accept.asp?path=/~sdrucker/papers/tasklevel.pdf&pub=IEEE	Robotics	"Aboaf, E, Drucker, S.M, and Atkeson, C.G. Task Level Learning on a Juggling Task. IEEE Robotics Conference. Scottsdale, AZ. 1989."	thumbnail/robotlearn.gif	tasklevel.txt	
5	Cinema Program	"This paper presents a general system for camera movement upon which a wide variety of higher-level methods and applications can be built. In addition to the basic commands for camera placement, a key attribute of the CINEMA system is the ability to inquire information directly about the 3D world through which the camera is moving. With this information high-level procedures can be written that closely correspond to more natural camera specifications. Examples of some high-level procedures are presented. In addition, methods for overcoming deficiencies of this procedural approach are proposed."	"Galyean,Zeltzer"	"SIGGRAPH,Thesis"	"Graphics,Camera,Thesis"	1992	researchImages/cinema.gif	http://research.microsoft.com/~sdrucker/papers/SIG92symp.pdf	Camera	"Drucker, S.M., Galyean, T.A., and Zeltzer, D. CINEMA: A System for Procedural Camera Movements. SIGGRAPH Symposium on 3D Interaction. Cambridge, MA. 1992."	thumbnail/cinema.gif	SIG92symp.txt	
6	Self Inflated	A video about a republican challenger in 1992. Shown at the Democratic National Convention.	Galyean	Movie	Graphics	1992	researchImages/sismall.gif		Graphics	"Galyean, T. & Drucker, S.M. Self Inflated Animation, 1992"	thumbnail/sismall.gif		
7	Parallel Raytracing	"We describe a new data parallel algorithm for raytracing. Load balancing is achieved through the use of processor allocation, which continually remaps available resources. In this manner heterogeneous data bases are handled without the usual problems of low resource usage. The proposed approach adapts well to both extremes: a small number of rays and a large database; a large number of rays and a small database. The algorithm scales linearly|over a wide range|in the number of rays and available processors. We present an implementation on the Connection Machine CM2 system and provide timings."	Schroeder	GI	"Graphics,Parallel Computing"	1992	researchImages/dataparallel.gif	http://research.microsoft.com/~sdrucker/papers/GIraytrace.pdf	Graphics	"Schroeder, P. and Drucker, S.M. Data Parallel Raytracing. Graphics Interface '92. Vancouver, B.C. 1992."	thumbnail/dataparallel.gif	GIraytrace.txt	
8	Parallel Radiosity	"We present a data parallel algorithm for radiosity. The algorithm was designed to take advantage of large numbers of processors. It has been implemented on the Connection Machine CM2 system and scales linearly in the number of available processors over a wide range. All parts of the algorithm | form-factor computation, visibility determination, adaptive subdivision, and linear algebra solution | execute in parallel with a completely distributed database. Load balancing is achieved through processor allocation and dynamic data structures which reconfigure appropriately to match the granularity of the required calculations."	Schroeder	PhotorealisticWorkshop	"Graphics,Parallel Computing"	1992	researchImages/parallelRadiosity.gif	http://research.microsoft.com/~sdrucker/papers/eurorendworkshop.pdf	Graphics	"Drucker, S.M. and Schroeder, P. Fast Radiosity:A Data Parallel Approach. 3rd Workshop on Photorealistic Rendering, Bristol, U.K. 1992."	thumbnail/parallelRadiosity.gif	eurorendworkshop.txt	
9	Conversation Agent	"Too often in the field of computer graphics, practitioners have been more concerned with the question of how to move a camera rather than why to move it. This thesis addresses the core question of why the camera is being placed and moved and uses answers to that question to provide a more convenient, more intelligent method for controlling virtual cameras in computer graphics. After discussing the general sorts of activities to be performed in graphical environments, this thesis then contains a derivation of some camera primitives that are required, and examines how they can be incorporated into different interfaces. A single, consistent, underlying framework for camera control across many different domains has been posited and formulated in terms of constrained optimization. Examples from different application domains demonstrate a variety of interface styles that have all been implemented on top of the underlying framework. Evaluations for each application are also given."	Individual	Camera	"Graphics,Animation,Camera,Thesis"	1994	researchImages/conversesm.gif	http://research.microsoft.com/~sdrucker/papers/thesiswbmakrs.pdf	Camera	"Drucker, S.M. Intelligent Camera Control for Graphical Environments PhD Thesis, MIT Media Lab. 1994."	thumbnail/conversesm.gif	thesiswbmakrs.txt	
10	Mission Planner	"A key function of a mission planning system is to enhance and maintain situational awareness of planning personnel and aircrews who will use the system for pre-mission rehearsals and briefings. We have developed a mission planner using virtual environment technology. We provide a task level interface to computational models of aircraft, terrain, threats and targets, so that users interact directly with these models using voice and gesture recognition, 3D positional input, 3 axis force output, and intelligent camera control."	Zeltzer	Thesis	"Graphics,Camera,Thesis"	1994	researchImages/darpa.gif	http://research.microsoft.com/~sdrucker/papers/mission.pdf	Camera	"Zeltzer, D. and Drucker, S.M. A Virtual Environment System for Mission Planning. Proc. 1992 IMAGE VI Conference. Phoenix, AZ. 1992. "	thumbnail/darpa.gif	mission.txt	
11	Virtual Museum	"This paper describes a framework for exploring intelligent camera controls in a 3D virtual environment. It presents a methodology for designing the underlying camera controls based on an analysis of what tasks are to be required in a specific environment. Once an underlying camera framework is built, a variety of interfaces can be connected to the framework. A virtual museum is used as a prototypical virtual environment for this work. This paper identifies some of the tasks that need to be performed in a virtual museum; presents a paradigm for encapsulating those tasks into camera modules; and describes in detail the underlying mechanisms that make up the camera module for navigating through the environment."	Zeltzer	"GI,Thesis"	"Graphics,Camera,Thesis"	1994	researchImages/museum1.gif	http://research.microsoft.com/~sdrucker/papers/GImuseum_wfigs.pdf	Camera	"Drucker, S.M. and Zeltzer, D. Intelligent Camera Control in a Virtual Environment Graphics Interface '94."	thumbnail/museum1.gif	GImuseum_wfigs.txt	
12	Virtual Football	"Too often in the field of computer graphics, practitioners have been more concerned with the question of how to move a camera rather than why to move it. This thesis addresses the core question of why the camera is being placed and moved and uses answers to that question to provide a more convenient, more intelligent method for controlling virtual cameras in computer graphics. After discussing the general sorts of activities to be performed in graphical environments, this thesis then contains a derivation of some camera primitives that are required, and examines how they can be incorporated into different interfaces. A single, consistent, underlying framework for camera control across many different domains has been posited and formulated in terms of constrained optimization. Examples from different application domains demonstrate a variety of interface styles that have all been implemented on top of the underlying framework. Evaluations for each application are also given."	Individual	Thesis	"Graphics,Camera,Thesis"	1994	researchImages/footballsm.gif	http://research.microsoft.com/~sdrucker/papers/thesiswbmakrs.pdf	Camera	"Drucker, S.M. Intelligent Camera Control for Graphical Environments PhD Thesis, MIT Media Lab. 1994."	thumbnail/footballsm.gif	thesiswbmakrs.txt	
13	CamDroid	"In this paper, a method of encapsulating camera tasks into well defined units called camera modules is described. Through this encapsulation, camera modules can be programmed and sequenced, and thus can be used as the underlying framework for controlling the virtual camera in widely disparate types of graphical environments. Two examples of the camera framework are shown: an agent which can film a conversation between two virtual actors and a visual programming language for filming a virtual football game."	Zeltzer	"SIGGRAPH,Thesis"	"Graphics,Camera,Thesis"	1995	researchImages/camdroid.gif	http://research.microsoft.com/~sdrucker/papers/SIG95symp.pdf	Camera	"Drucker, S.M. and Zeltzer, D. CamDroid: A System for InEelligent Camera Control. SIGGRAPH Symposium on Interactive 3D Graphics, 1995."	thumbnail/camdroid.gif	SIG95symp.txt	
14	Streaming Chat	"We describe some common problems experienced by users of computer-based text chat, and show how many of these problems relate to the loss of timing-specific information.  We suggest that thinking of chat as a streaming media data type might solve some of these problems.  We then present a number of alternative chat interfaces along with results from user studies comparing and contrasting them both with each other and with the standard chat interface."	"Vronay,Smith"	UIST	"UI,Social"	1999	researchImages/streamChat.jpg	http://research.microsoft.com/~sdrucker/papers/chat.pdf	Social	"David Vronay, Marc Smith, and Steven M. Drucker, Chat as a Streaming Media Data Type, UIST. 1999."	thumbnail/streamChat.jpg	chat.txt	
15	Collaborative Visualization	"There is a growing need for methods and tools to illuminate the social contexts of interaction environments created by the World Wide Web, Usenet newsgroups, email lists, and other network interaction media. We present here a framework for creating visualizations of the social connections created in and through network interaction media. Using graph-drawing methods, visualizations can be created for a range of systems that link people to people and people to objects through networks. As an example, we present an application of our methods to the Usenet to illustrate how visualization can improve existing systems.  We propose that users of network interaction media can benefit from visualizations that illuminate the interaction context generated by the rich interconnections between groups, conversations, and people in these media."	"Xiong,Smith"	InternalReport	"Visualization,Social"	1999	researchImages/collab.jpg	http://research.microsoft.com/~sdrucker/papers/collabviz.pdf	Social	"Rebecca Xiong, Marc A. Smith,Steven M. Drucker, Visualizations of Collaborative Information for End-Users,  Internal Report, 1999."	thumbnail/collab.jpg	collabviz.txt	
16	MOOs to Multi-user apps	"This paper provides a brief description of the work we have done on the V-Worlds project, a system that facilitates the creation of multi-user applications and environments. We have taken concepts originally found in object oriented Multi-User Dungeons (MOOs) and extended them to deal with more general multi-user and in particular multi-media applications. We present reasons behind the architectural decisions of the platform and show that it has been used successfully for a wide range of examples."	Individual	InternalReport	"Graphics,Social"	1999	researchImages/uistmoos.jpg	http://research.microsoft.com/~sdrucker/papers/moving.pdf	Social	"Steven M. Drucker, Moving from MOOs to Multi-user Applications,  Internal Report, 1999."	thumbnail/uistmoos.jpg	moving.txt	
17	Avatar Eye Gaze	"As we begin to create synthetic characters (avatars) for computer users, it is important to pay attention to both the look and the behavior of the avatar's eyes. In this paper we present behavior models of eye gaze patterns in the context of real-time verbal communication. We apply these eye gaze models to simulate eye movements in a computer-generated avatar in a number of task settings. We also report the results of an experiment that we conducted to assess whether our eye gaze model induces changes in the eye gaze behavior of an individual who is conversing with an avatar."	"Colburn,Cohen"	InternalReport	"Graphics,Animation"	2000	researchImages/eyegaze.jpg	http://research.microsoft.com/research/pubs/view.aspx?type=Technical%20Report&id=391	Graphics	"Alex Colburn, Michael F. Cohen, Steven Drucker, The Role of Eye Gaze in Avatar Mediated Conversational Interfaces ,  MSR-TR-2000-81, July, 2000"	thumbnail/eyegaze.jpg		
18	Social Dilemma Testing	"One of the most robust findings in the sociological literature is the positive effect of communication on cooperation and trust.  When individuals are able to communicate, cooperation increases significantly.  How does the choice of communication modality influence this effect?  We adapt the social dilemma research paradigm to quantitatively analyze different modes of communication. Using this method, we compare four forms of communication: no communication, text-chat, text-to-speech, and voice.  We found statistically significant differences between the various forms of communication, with the voice condition resulting in the highest levels of cooperation.  Our results highlight the importance of striving towards the use of more advanced forms of communication in online environments, especially where trust and cooperation are essential.  In addition, our research demonstrates the applicability of the social dilemma paradigm in testing the extent to which communication modalities promote the development of trust and cooperation. "	"Jensen,Farnham,Kollock"	SIGCHI	Social	2000	researchImages/socdilemma.gif	http://research.microsoft.com/~sdrucker/papers/chidilemmas.pdf	Social	"Jensen, C., Farnham, S., Drucker, S., & Kollock, P. The Effect of Communication Modality on Cooperation in Online Environments. In Proceedings of CHI 2000, The Hague, Netherlands March 2000."	thumbnail/socdilemma.gif	chidilemmas.txt	
19	Social Life of Avatars	"This paper provides a unique quantitative analysis of the social dynamics of three chat rooms in the Microsoft V-Chat graphical chat system. Survey and behavioral data were used to study user experience and activity. 150 V-Chat participants completed a web-based survey, and data logs were collected from three V-Chat rooms over the course of 119 days. This data illustrates the usage patterns of graphical chat systems, and highlights the ways physical proxemics are translated into social interactions in online Environments. V-Chat participants actively used gestures, avatars, and movement as part of their social interactions. Analyses of clustering patterns and movement data show that avatars were used to provide nonverbal cues similar to those found in face-to-face interactions. However, use of some graphical features, in particular gestures, declined as users became more experienced with the system. These findings have implications for the design and study of online interactive environments."	"Smith,Farnham"	SIGCHI	Social	2000	researchImages/socialavatar.jpg	http://research.microsoft.com/~sdrucker/papers/chisoclife.pdf	Social	"Smith, M., Farnham, S., & Drucker S. The Social Life of Small Graphical Chat Spaces. In Proceedings of CHI 2000, The Hague, Netherlands March 2000."	thumbnail/socialavatar.jpg	chisoclife.txt	
20	Graphic enhancement for conference calls	"We present two very low bandwidth graphically enhanced interfaces for small group voice communications. One interface presents static images of the participants that highlight when one is speaking. The other interface utilizes three-dimensional avatars that can be quickly created. Eleven groups of 4 or 5 people were presented with each enhanced interface as well as conducting a live conversation and a voice only conversation. Experiments show that both graphically enhanced interfaces improve the understandability of conversations, particular with respect to impressions that others in the group could express themselves more easily, knowing who is talking, and when to speak. Little difference was found between the two graphical interfaces. Analysis of voice tracks also revealed differences between interfaces in the length and number of medium duration silences."	"Colburn,Cohen,Counts,Gupta"	InternalReport	"Graphics,Social"	2000	researchImages/conferencecalls.jpg	http://research.microsoft.com/research/pubs/view.aspx?type=Technical%20Report&id=499	Social	"Alex Colburn, Michael F. Cohen, Steven Drucker, Scott Lee-Tiernan, Anoop Gupta, Graphical Enhancement For Voice Only Conference Calls,  MSR-TR-2001-95, 2001."	thumbnail/conferencecalls.jpg	TR2007-04-02.txt	
